いしゃ	doctor
けんきゅうしゃ	investigador
エンジニア	ingeniero
だいがく	universidad
びょういん	hospital
はい	si
いいえ	no
しつれいですが	sdaasdsadasdadsasdsad
おなまえは	asd
はじめまして	mucho gusto
どうぞよろしく	encantado de conocerte
こちらは。。。さんです	le presento a...
。。。からきました	vengo de...
イギリス	312312312231
ドイツ	alemania
かんこく	corea del sur
ちゅうごく	china
にほん	japon
けむり（煙）	humo
でんき	electricidad
だれ	quien
どなた	quien formal
さい	contador edad
なんさい	que edad
おいくつ	que edad
