説明	せつめい
内容	ないよう
決める	きめる
授業	じゅぎょう
会話	かいわ
復習	ふくしゅう
課	か
本物	ほんもの
人気	にんき
具	ぐ
材料	ざいりょう
具材	ぐざい
食材	しょくざい
用意	ようい
準備	じゅんび
追い払う	おいはらう
葉	は
葉っぱ	はっぱ
婦人	ふじん
社会	しゃかい
活躍	かつやく
参加	さんか
権利	けんり
投票権	とうひょうけん
贈る	おくる
練習	れんしゅう
理由	りゆう
全部	ぜんぶ
使う	つかう
習う	ならう
漢字	かんじ
読む	よむ
方	かた
直す	なおす
話す	はなす
書く	かく
短い	みじかい
考える	かんがえる
写真	しゃしん
蝋	ろう
必要	ひつよう
甘酸っぱい	あまずっぱい
酢	す
半分	はんぶん
野菜	やさい
卵焼き	たまごやき
取る	とる
背わた	せわた
乗せる	のせる
最後	さいご
形	かたち
巻く	まく
祭り	まつり
人形	にんぎょう
特別	とくべつ
飾り	かざり
健康	けんこう
幸せ	しあわせ
祈る	いのる
季節	きせつ
桃	もも
肌	はだ
お風呂	おふろ
